vehicleNo,lng,lat,CLUSTER
ԥLT0687,113.985363,33.559914,-1
ԥLT0688,114.036343,33.572752,0
ԥLT0689,114.069544,33.569415,-1
ԥLT0690,114.033747,33.559905,-1
ԥLT0691,114.009650,33.565391,-1
ԥLT0693,114.046126,33.560683,-1
ԥLT0694,114.055127,33.569711,2
ԥLT0696,114.025592,33.543390,9
ԥLT0697,113.959925,33.574867,6
ԥLT0698,113.986110,33.592915,-1
ԥLT0699,114.063939,33.561050,15
ԥLT0700,114.003120,33.608057,-1
ԥLT0701,114.024641,33.570605,0
ԥLT0702,114.036282,33.573106,0
ԥLT0703,114.023499,33.580776,-1
ԥLT0704,114.028852,33.587480,5
ԥLT0705,114.032279,33.569892,0
ԥLT0706,114.019984,33.550541,-1
ԥLT0707,114.053197,33.557932,-1
ԥLT0708,114.002688,33.590227,1
ԥLT0709,114.012156,33.569638,0
ԥLT0710,113.959795,33.575452,6
ԥLT0711,114.012223,33.568463,0
ԥLT0712,114.066481,33.560744,15
ԥLT0714,113.987576,33.599297,-1
ԥLT0715,113.995290,33.588470,-1
ԥLT0716,113.989332,33.553254,-1
ԥLT0717,114.033072,33.578936,0
ԥLT0718,114.001713,33.587763,1
ԥLT0719,113.989825,33.585244,-1
ԥLT0720,114.086566,33.591434,-1
ԥLT0721,114.032466,33.571884,0
ԥLT0722,113.997193,33.600175,8
ԥLT0723,114.019926,33.571078,0
ԥLT0724,114.000128,33.565115,-1
ԥLT0725,114.013200,33.645935,-1
ԥLT0726,114.013710,33.581257,-1
ԥLT0727,113.959905,33.574733,6
ԥLT0728,114.049977,33.570675,12
ԥLT0729,114.007346,33.573273,-1
ԥLT0730,114.030063,33.541503,-1
ԥLT0732,114.042054,33.577307,13
ԥLT0733,114.022675,33.595787,-1
ԥLT0734,114.044514,33.583955,-1
ԥLT0735,113.983866,33.594106,-1
ԥLT0736,114.057264,33.570002,2
ԥLT0737,114.018605,33.586038,3
ԥLT0738,113.996168,33.557215,11
ԥLT0739,114.051520,33.576840,-1
